coach_id,name,coach_since,team_id
1,Lloyd Pierce,2018,1
2,Brad Stevens,2013,2
3,Steve Nash,2020,3
4,James Borrego,2018,4
5,Billy Donovan,2020,5
6,J.B. Bickerstaff,2020,6
7,Rick Carlisle,2008,7
8,Michael Malone,2015,8
9,Dwane Casey,2018,9
10,Steve Kerr,2014,10
11,Stephen Silas,2020,11
12,Nate Bjorkgren,2020,12
13,Tyronn Lue,2020,13
14,Frank Vogel,2019,14
15,Taylor Jenkins,2019,15
16,Erik Spoelstra,2008,16
17,Mike Budenholzer,2018,17
18,Ryan Saunders,2019,18
19,Stan Van Gundy,2020,19
20,Tom Thibodeau,2020,20
21,Billy Donovan,2020,21
22,Steve Clifford,2018,22
23,Doc Rivers,2020,23
24,Monty Williams,2019,24
25,Terry Stotts,2012,25
26,Luke Walton,2019,26
27,Gregg Popovich,1996,27
28,Nick Nurse,2018,28
29,Quin Snyder,2014,29
30,Scott Brooks,2016,30