player_id,name,dob,jersey_number,position,year_in_league,team_id
1,Dirk Nowitzki,6/19/78,41,PF,1998,7
2,Jason Kidd,3/23/73,2,PG,1994,7
3,Jason Terry,9/15/77,31,SG,1999,7
4,Caron Butler,3/13/80,4,SF,2002,7
5,Tyson Chandler,10/2/82,6,C,2001,7
6,Carmelo Anthony,5/29/84,15,SF,2003,8
7,Arron Afflalo,10/15/85,6,SG,2007,8
8,Chauncey Billups,9/25/76,1,PG,1997,8
9,Gary Forbes,2/25/85,0,SF,2010,8
10,Shelden Williams,10/21/83,23,PF,2006,8
11,Dwyane Wade,1/17/82,3,SG,2003,16
12,Chris Bosh,3/24/84,1,PF,2003,16
13,LeBron James,12/30/84,6,SF,2003,16
14,Carlos Arroyo,7/30/79,8,PG,2002,16
15,Zydrunas Ilgauskas,6/5/75,11,C,1998,16
16,DeShawn Stevenson,4/3/81,92,SG,2000,7
17,Andrew Bogut,11/28/84,6,C,2005,17
18,Brandon Jennings,9/23/89,3,PG,2009,17
19,John Salmons,12/12/79,15,SG,2002,17
20,Luc Mbah a Moute,9/9/86,12,PF,2008,17
21,Larry Sanders,11/21/88,8,C,2010,17
22,Mario Chalmers,5/19/86,15,PG,2008,16
23,Shane Battier,9/9/78,31,SF,2001,16
24,James Jones,10/4/80,22,SG,2003,16
25,Joel Anthony,8/9/82,50,C,2007,16
26,Joe Johnson,6/29/81,2,SG,2001,1
27,Jeff Teague,6/10/88,0,PG,2009,1
28,Josh Smith,12/5/85,5,PF,2004,1
29,Al Horford,6/3/86,15,C,2007,1
30,Marvin Williams,6/19/86,24,SF,2005,1
31,Jeremy Lin,8/23/88,17,PG,2010,20
32,Amar'e Stoudemire,11/16/82,1,PF,2002,20
33,Landry Fields,6/27/88,2,SG,2010,20
34,Ronny Turiaf,1/13/83,21,C,2005,16
35,Rudy Gay,8/17/86,22,SF,2006,15
36,Marc Gasol,1/29/85,33,C,2008,15
37,Mike Conley,10/11/87,11,PG,2007,15
38,Marreese Speights,8/4/87,5,PF,2008,15
39,Quincy Pondexter,3/10/88,20,SF,2010,15
40,Dion Waiters,12/10/91,3,SG,2012,6
41,Anderson Varejao,9/28/82,17,C,2004,6
42,Jeremy Pargo,3/17/86,8,PG,2011,6
43,Alonzo Gee,5/29/87,33,SF,2009,6
44,Tristan Thompson,3/13/91,13,PF,2011,6
45,Udonis Haslem,6/9/80,40,PF,2003,16
46,Nikola Vucevic,10/24/90,9,C,2011,22
47,DeQuan Jones,6/20/90,20,SF,2012,22
48,Andrew Nicholson,12/8/89,44,PF,2012,22
49,Ish Smith,7/5/88,10,PG,2010,22
50,Luol Deng,4/16/85,9,SF,2004,5
51,Jimmy Butler,9/14/89,21,SF,2011,5
52,Carlos Boozer,11/20/81,5,PF,2002,5
53,Kirk Hinrich,1/2/81,12,PG,2003,5
54,Nazr Mohammed,9/5/77,48,C,1998,5
55,Tony Parker,5/17/82,9,PG,2001,27
56,Tiago Splitter,1/1/85,22,C,2010,27
57,Kawhi Leonard,6/29/91,2,SF,2011,27
58,Boris Diaw,4/16/82,33,PF,2003,27
59,Danny Green,6/22/87,4,SG,2009,27
60,Steve Blake,2/26/80,5,PG,2003,14
61,Pau Gasol,7/6/80,16,C,2001,14
62,Steve Nash,2/7/74,10,PG,1996,14
63,Shawne Williams,2/16/86,3,PF,2008,14
64,Nick Young,6/1/85,0,SG,2007,14
65,Marco Belinelli,3/25/86,3,SF,2007,27
66,Cory Joseph,8/20/91,5,SG,2011,27
67,Nicolas Batum,12/14/88,88,SF,2008,25
68,Damian Lillard,7/15/90,0,PG,2012,25
69,Wesley Matthews,10/14/86,2,SG,2009,25
70,Robin Lopez,4/1/88,42,C,2008,25
71,Dorell Wright,12/2/85,1,SF,2004,25
72,Chandler Parsons,10/25/88,25,SF,2011,11
73,Terrence Jones,1/9/92,6,PF,2012,11
74,Patrick Beverley,7/12/88,2,PG,2012,11
75,James Harden,8/26/89,13,SG,2009,11
76,Dwight Howard,12/8/85,12,C,2004,11
77,Tim Duncan,4/25/76,21,C,1997,27
78,Damion James,10/7/87,7,SF,2010,27
79,Aron Baynes,12/9/86,16,C,2012,27
80,Gordon Hayward,3/23/90,20,SF,2010,29
81,Trey Burke,11/12/92,3,PG,2013,29
82,Alec Burks,7/20/91,10,SG,2011,29
83,Derrick Favors,7/15/91,15,PF,2010,29
84,Enes Kanter,5/20/92,0,C,2011,29
85,Harrison Barnes,5/30/92,40,SF,2012,10
86,Draymond Green,3/4/90,23,PF,2012,10
87,Stephen Curry,3/14/88,30,PG,2009,10
88,Klay Thompson,2/8/90,11,SG,2011,10
89,DeMarcus Cousins,8/13/90,15,C,2010,26
90,Darren Collison,8/23/87,7,PG,2009,26
91,Ben McLemore,2/11/93,23,SG,2013,26
92,Derrick Williams,5/25/91,13,PF,2011,26
93,Deron Williams,6/26/84,8,PG,2005,3
94,Alan Anderson,10/16/82,6,SG,2009,3
95,Markel Brown,1/29/92,22,SG,2014,3
96,Mason Plumlee,3/5/90,1,C,2013,3
97,J.R. Smith,9/9/85,5,SG,2004,6
98,Kevin Love,9/7/88,0,PF,2008,6
99,Mo Williams,12/19/82,52,PG,2003,6
100,Timofey Mozgov,7/16/86,20,C,2010,6
101,Andre Drummond,8/10/93,0,C,2012,9
102,Kentavious Caldwell-Pope,2/18/93,5,SG,2013,9
103,Marcus Morris,9/2/89,13,SF,2011,9
104,Reggie Jackson,4/16/90,1,PG,2011,9
105,Ersan Ilyasova,5/15/87,23,PF,2008,9
106,Chris Paul,5/6/85,3,PG,2005,13
107,DeAndre Jordan,7/21/88,6,C,2008,13
108,J.J. Redick,6/24/84,4,SG,2006,13
109,Paul Pierce,10/13/77,34,SF,1998,13
110,Kyrie Irving,3/23/92,2,PG,2011,6
111,Avery Bradley,11/26/90,0,SG,2010,2
112,Jae Crowder,7/6/90,99,SF,2012,2
113,Isaiah Thomas,2/7/89,4,PG,2011,2
114,Jared Sullinger,3/4/92,7,PF,2012,2
115,Amir Johnson,5/1/87,90,PF,2005,2
116,Kemba Walker,5/8/90,15,PG,2011,4
117,Spencer Hawes,4/28/88,0,PF,2007,4
118,Michael Kidd-Gilchrist,9/26/93,14,SF,2012,4
119,Kevin Durant,9/29/88,35,PF,2007,10
120,JaVale McGee,1/19/88,1,C,2008,10
121,Russell Westbrook,11/12/88,0,PG,2008,21
122,Steven Adams,7/20/93,12,C,2013,21
123,Victor Oladipo,5/4/92,5,SG,2013,21
124,Andre Roberson,12/4/91,21,SF,2013,21
125,Domantas Sabonis,5/3/96,3,PF,2016,21
126,Zaza Pachulia,2/10/84,27,C,2003,10
127,John Wall,9/6/90,2,PG,2010,30
128,Bradley Beal,6/28/93,3,SG,2012,30
129,Otto Porter,6/3/93,22,SF,2013,30
130,Markieff Morris,9/2/89,5,PF,2011,30
131,Marcin Gortat,2/17/84,13,C,2007,30
132,Jrue Holiday,6/12/90,11,SG,2009,19
133,Anthony Davis,3/11/93,23,PF,2012,19
134,E'Twaun Moore,2/25/89,55,SG,2011,19
135,Rajon Rondo,2/22/86,9,PG,2006,19
136,Omri Casspi,6/22/88,18,SF,2009,10
137,Courtney Lee,10/3/85,5,SG,2008,20
138,Michael Beasley,1/9/89,8,PF,2008,20
139,Tim Hardaway,3/16/92,3,SG,2013,20
140,Jarrett Jack,10/28/83,55,PG,2005,20
141,Quinn Cook,3/23/93,4,PG,2016,10
142,Andre Iguodala,1/28/84,9,SF,2004,10
143,Dragan Bender,11/17/97,35,PF,2016,12
144,T.J. Warren,9/5/93,12,SF,2014,12
145,Troy Daniels,7/15/91,30,SG,2013,12
146,Elfrid Payton,2/22/94,2,PG,2014,12
147,Alex Len,6/16/93,21,C,2013,12
148,Joel Embiid,3/16/94,21,C,2016,23
149,Ben Simmons,7/20/96,25,PG,2017,23
150,Wilson Chandler,5/10/87,22,PF,2008,23
151,Kyle Lowry,3/25/86,7,PG,2006,28
152,Pascal Siakam,4/2/94,43,PF,2016,28
153,Serge Ibaka,9/18/89,9,C,2009,28
154,Bojan Bogdanovic,4/18/89,44,SF,2014,12
155,Thaddeus Young,6/21/88,21,PF,2007,12
156,Fred VanVleet,2/25/94,23,PG,2016,28
157,Paul George,5/2/90,13,SF,2010,21
158,Jerami Grant,3/12/94,9,PF,2014,21
159,Terrance Ferguson,5/17/98,23,SG,2017,21
160,Luka Doncic,2/28/99,77,PG,2018,7
161,Kristaps Porzingis,8/2/95,6,C,2016,7
162,Dorian Finney-Smith,5/4/93,10,PF,2016,7
163,Dwight Powell,7/20/91,7,C,2014,7
164,Seth Curry,8/23/90,30,SG,2014,7
165,Rui Hachimura,2/8/98,8,PF,2019,30
166,Thomas Bryant,7/31/97,13,C,2017,30
167,Troy Brown,7/28/99,6,SF,2018,30
168,Jared Dudley,7/10/85,10,PF,2007,14
169,Malcolm Brogdon,12/11/92,7,PG,2016,12
170,Myles Turner,3/24/96,33,C,2015,12
171,Jeremy Lamb,5/30/92,26,SG,2012,12
172,Derrick Rose,10/4/88,1,PG,2008,9
173,Giannis Antetokounmpo,12/6/94,34,SF,2013,17
174,Ja Morant,8/10/99,12,PG,2019,15
175,Karl-Anthony Towns,11/15/95,32,C,2015,18
176,Andrew Wiggins,2/23/95,22,SF,2014,18
177,Michael Carter-Williams,10/10/91,1,PG,2013,22
178,Blake Griffin,3/16/89,32,PF,2009,9
179,Joakim Noah,2/25/85,13,C,2008,13
180,Rudy Gobert,6/26/92,27,C,2013,29
181,Lamar Odom,11/6/79,7,SF,1999,13
182,Jamal Crawford,3/20/80,1,SG,2000,3
183,Eric Gordon,12/25/88,10,SG,2008,11
184,Lou Williams,10/27/86,23,PG,2005,13
185,Montrezl Harrell,1/26/94,35,PF,2015,14
186,Kobe Bryant,8/23/78,24,SG,1996,14